Title 	; Quality Score;
Metadata Driven Integration of Clinical Data for Secondary Use in FHIR - A Pilot Study at the UKSH 	;2.5;
SAND: A Tool for Creating Semantic Descriptions of Tabular Sources 	;1.5;
SemLinker: automating big data integration for casual users 	;1.0;
Ontology-driven metadata enrichment for genomic datasets 	;0.5;
Using type and temporal semantic enrichment to boost content discoverability and multilingualism in the Greek cultural aggregator SearchCulture.gr 	;1.5;
Using Rule and Goal Based Agents to Create Metadata Profiles 	;1.5;
ODMedit: Uniform semantic annotation for data integration in medicine based on a public metadata repository 	;2.5;
Towards Information Profiling: Data Lake Content Metadata Management 	;2.5;
Ubiquitous access to digital cultural heritage 	;2.5;
LabBook: Metadata-driven social collaborative data analysis 	;2.5;
Enrichment and preservation of architectural knowledge 	;2.0;
A viewpoint based extension of the common warehouse metamodel to support the user's viewpoint approach 	;2.5;
Information extraction and integration for enriching cultural heritage collections 	;2.0;
Content-based interoperability: Beyond technical specifications of interfaces 	;2.0;
Building and Querying Semantic Layers for Web Archives 	;2.0;
Standardization of storage and retrieval of semi-structured thermophysical data in JSON-documents associated with the ontology 	;1.5;
Towards achieving semantic interoperability of clinical study data with FHIR 	;2.5;
LOD for Library Science: Benefits of Applying Linked Open Data in the Digital Library Setting: Retrospects and Research Topics 	;2.0;
Toward a statistical data integration environment - the role of semantic metadata 	;2.5;
Research on construction methods of big data semantic model 	;1.0;
Rapid data integration and analysis for upstream oil and gas applications 	;2.5;
ICyrus: A semantic framework for biomedical image discovery 	;1.0;
Profiling the Linked (Open) Data 	;1.5;
SEEK: A systems biology data and model management platform 	;1.5;
Reconciling Heterogeneous Descriptions of Language Resources 	;2.5;
Integrating heterogeneous coin datasets in the context of archaeological research 	;2.0;
Semantic web technologies for external corrosion detection in smart oil fields 	;0.5;
Rating, recognizing and rewarding metadata integration and sharing on the semantic web 	;1.5;
Managing a community shared vocabulary for hydrologic observations 	;2.5;
Scoring semantic annotations returned by the NCBO annotator 	;1.0;
Metadata integration for an archaeology collection architecture 	;2.5;
Graph-based data integration and business intelligence with BIIIG 	;2.0;
The linked medical data access control framework 	;1.5;
Research and application on oilfield product heterogeneous data integration based on ontology 	;1.0;
Metadata based management and sharing of distributed biomedical data 	;2.5;
Content Information Architecture, Taxonomy, and Metadata 	;2.5;
Consistency Evaluation of RDF Data: How Data and Updates are Relevant 	;1.5;
DISERTO: Semantics-Based Tool for Automatic and Virtual Data Integration 	;2.5;
A Framework for the Evaluation of Automatic Metadata Enrichments 	;2.5;
