Title 	; Quality Score;
Metadata Driven Integration of Clinical Data for Secondary Use in FHIR - A Pilot Study at the UKSH 	;2.5;
ODMedit: Uniform semantic annotation for data integration in medicine based on a public metadata repository 	;2.5;
Towards Information Profiling: Data Lake Content Metadata Management 	;2.5;
Ubiquitous access to digital cultural heritage 	;2.5;
LabBook: Metadata-driven social collaborative data analysis 	;2.5;
A viewpoint based extension of the common warehouse metamodel to support the user's viewpoint approach 	;2.5;
Towards achieving semantic interoperability of clinical study data with FHIR 	;2.5;
Toward a statistical data integration environment - the role of semantic metadata 	;2.5;
Rapid data integration and analysis for upstream oil and gas applications 	;2.5;
Reconciling Heterogeneous Descriptions of Language Resources 	;2.5;
Managing a community shared vocabulary for hydrologic observations 	;2.5;
Metadata integration for an archaeology collection architecture 	;2.5;
Metadata based management and sharing of distributed biomedical data 	;2.5;
DISERTO: Semantics-Based Tool for Automatic and Virtual Data Integration 	;2.5;
A Framework for the Evaluation of Automatic Metadata Enrichments 	;2.5;
Metadata Integration with Labeled-Property Graphs 	;2.5;
Automated Integration of Genomic Metadata with Sequence-to-SequenceModels 	;2.5;
Integrated Access to Multidisciplinary Data Through SemanticallyInteroperable Services in a Metadata-Driven Platform for Solid EarthScience 	;2.5;
Metadata harvesting for digital library integration in Ukraine: acomparative study of the OAI-PMH protocol and VuFind's efficacy 	;2.5;
A linked open data framework to enhance the discoverability and impactof culture heritage 	;2.5;
The GAAIN Entity Mapper: An Active-Learning System for Medical DataMapping 	;2.5;
PROPOSAL FOR THE STANDARDIZATION OF CONTROLLED VOCABULARIES FORTELEVISION ARCHIVES: CASE STUDY AT RTVE 	;2.5;
Toward a View-oriented Approach for Aligning RDF-based BiomedicalRepositories 	;2.5;
Semantic-based Data Integration and Mapping Maintenance: Application toDrugs Domain 	;2.5;
Use of Metadata-Driven Approaches for Data Harmonization in the MedicalDomain: Scoping Review 	;3.0;
A semantic meta-model for data integration and exploitation in precisionagriculture and livestock farming 	;2.5;
Context Is Everything: Harmonization of Critical Food MicrobiologyDescriptors and Metadata for Improved Food Safety and Surveillance 	;2.5;
CAMO: Integration of Linked Open Data for Multimedia Metadata Enrichment 	;2.5;
Metadata Topic Harmonization and Semantic Search for Linked-Data-DrivenGeoportals: A Case Study Using ArcGIS Online 	;2.5;
The {Semantic} {Data} {Dictionary} - {An} {Approach} for {Describing} and {Annotating} {Data}. 	;2.5;
Modeling the Complexity of Music Metadata in Semantic Graphs for Exploration and Discovery 	;2.5;
Towards a project centric metadata model and lifecycle for ontology mapping governance 	;2.5;
Metadata type system: integrate presentation, data models and extraction to enable exploratory browsing interfaces 	;2.5;
Semantic Mediation of Metadata for Marine Geochemical Data Integration 	;2.5;
Semantic integration of enterprise information systems usingmeta-metadata ontology 	;2.5;
The Europeana Network of Ancient Greek and Latin Epigraphy DataInfrastructure 	;2.5;
Is my:sameAs the same as your:sameAs? 	;2.5;
MetaStore: an adaptive metadata management framework for heterogeneousmetadata models 	;2.5;
Plaster: An Integration, Benchmark, and Development Framework forMetadata Normalization Methods 	;2.5;
RIKEN MetaDatabase: A Database Platform for Health Care and LifeSciences as a Microcosm of Linked Open Data Cloud 	;2.5;
Pragmatic MDR: a metadata repository with bottom-up standardization ofmedical metadata through reuse 	;2.5;
Semantic Metadata Annotation Services in the Biomedical Domain-ALiterature Review 	;2.5;
Understanding the Nature of Metadata: Systematic Review 	;3.0;
Crowd Sourced Semantic Enrichment (CroSSE) for knowledge driven queryingof digital resources 	;2.5;
Metadata Reconciliation for Improved Data Binding and Integration 	;2.5;
Metadata Integration Framework for Data Integration of Socio-CulturalAnthropology Digital Repositories: A Case Study of Princess Maha ChakriSirindhorn Anthropology Centre 	;2.5;
Automated Metadata Harmonization Using Entity Resolution and ContextualEmbedding 	;2.5;
A Novel Data Integration Framework Based on Unified Concept Model 	;2.5;
Toward a framework for statistical data integration 	;2.5;
Towards a semantic data infrastructure for heterogeneous Cultural Heritage data - Challenges of Korean Cultural Heritage Data Model (KCHDM) 	;2.5;
Research on information organizations and intelligent retrievals for digital library based on ontology and semantic web 	;2.5;
Metadata management for data integration in medical sciences - Experiences from the LIFE study 	;2.5;
Combining Automatic Annotation with Human Validation for the Semantic Enrichment of Cultural Heritage Metadata 	;2.5;
Semantic data integration methods based on ontologies in intelligent business analytics systems 	;2.5;
Synapse : Towards Linked Data for Smart Cities using a Semantic Annotation Framework 	;2.5;
Toward {Better} {Semantic} {Interoperability} of {Data} {Element} {Repositories} in {Medicine}: {Analysis} {Study}. 	;2.5;
Blue-cloud DAB: developing a platform to harmonize, assess and disseminate marine metadata collections 	;2.5;
Metadata application proﬁle as a mechanism for semantic interoperability in FAIR and open data publishing 	;2.5;
Cultural Heritage Information Retrieval: Past, Present, and Future Trends 	;2.5;
Crowdheritage: Crowdsourcing for improving the quality of cultural heritage metadata 	;2.5;
Reducing consumer uncertainty: Towards an ontology for geospatial user-centric metadata 	;2.5;
Improving discovery of open civic data 	;2.5;
A metadata model and mapping approach for facilitating access to heterogeneous cultural heritage assets 	;2.5;
Metadata schema for context-aware augmented reality applications in cultural heritage domain 	;2.5;
WITH: Human-Computer Collaboration for Data Annotation and Enrichment 	;2.5;
The eXtensible ontology development (XOD) principles and toolimplementation to support ontology interoperability 	;2.5;
A federated semantic metadata registry framework for enablinginteroperability across clinical research and care domains (vol 46, pg784, 2013) 	;2.5;
Interoperability of population-based patient registries. 	;2.5;
Data Information Interoperability Model for IoT-enabled Smart Water Networks 	;2.5;
FAIRification of Citizen Science Data Through Metadata-Driven Web API Development 	;2.5;
UGESCO - A Hybrid Platform for Geo-Temporal Enrichment of Digital Photo Collections Based on Computational and Crowdsourced Metadata Generation 	;2.5;
A RDF-based approach to metadata crosswalk for semantic interoperability at the data element level 	;2.5;
Information Integration of Heterogeneous Medical Database Systems Using Metadata 	;2.5;
Methods for Standardizing Metadata at Pusdatinrenbang Bappenas 	;2.5;
Lessons Learned From European Health Data Projects With Cancer Use Cases: Implementation of Health Standards and Internet of Things Semantic Interoperability 	;2.5;
Metadata application proﬁle as a mechanism for semantic interoperability in FAIR and open data publishing 	;2.5;
Metadata-Driven Approach to Generalisation of Transformations in ETL Processes 	;2.5;
An LLM-based Approach for Translating Keywords in Scientific Publications 	;2.5;
Reference framework for metadata description to commensurate data in grain production 	;2.5;
Metadata-Driven Cross-Infrastructure Integration Between Solid Earth and Marine Sciences in the GEO-INQUIRE Project 	;2.5;
Integrative Ontology of Bipolar Disorder (OBD): Advancing Bipolar Disorder Research Through an Interoperable Ontological Framework 	;2.5;
Weaving the Threads of Bibliographic Ontologies 	;3.0;
Large-Scale Integration of DICOM Metadata into HL7-FHIR for Medical Research 	;2.5;
Implementing interoperability - Metadata Schema and Crosswalk Registry approach to FAIR metadata mappings 	;2.5;
Integration patterns in the use of metadata for data sense‐making during relevance evaluation: An interpretable deep learning‐based prediction 	;2.5;
